Date Time,PM10,PM2.5
02/27/23 12:44:00 AM,19,15
02/27/23 12:43:00 AM,19,15
02/27/23 12:42:00 AM,18,15
02/27/23 12:41:00 AM,19,15
02/27/23 12:40:00 AM,19,15
02/27/23 12:39:00 AM,20,15
02/27/23 12:38:00 AM,19,15
02/27/23 12:37:00 AM,19,15
02/27/23 12:36:00 AM,18,15
02/27/23 12:35:00 AM,19,15
02/27/23 12:34:00 AM,19,15
02/27/23 12:33:00 AM,18,15
02/27/23 12:32:00 AM,19,15
02/27/23 12:31:00 AM,20,15
02/27/23 12:30:00 AM,18,15
02/27/23 12:29:00 AM,20,15
02/27/23 12:28:00 AM,18,15
02/27/23 12:27:00 AM,20,15
02/27/23 12:26:00 AM,20,15
02/27/23 12:25:00 AM,19,15
02/27/23 12:24:00 AM,20,16
02/27/23 12:23:00 AM,20,16
02/27/23 12:22:00 AM,19,15
02/27/23 12:21:00 AM,20,15
02/27/23 12:20:00 AM,19,15
02/27/23 12:19:00 AM,19,15
02/27/23 12:18:00 AM,19,16
02/27/23 12:17:00 AM,20,15
02/27/23 12:16:00 AM,20,15
02/27/23 12:15:00 AM,20,15
02/27/23 12:14:00 AM,19,15
02/27/23 12:13:00 AM,20,15
02/27/23 12:12:00 AM,20,15
02/27/23 12:11:00 AM,19,15
02/27/23 12:10:00 AM,20,15
02/27/23 12:09:00 AM,19,15
02/27/23 12:08:00 AM,20,15
02/27/23 12:07:00 AM,20,15
02/27/23 12:06:00 AM,20,15
02/27/23 12:05:00 AM,20,15
02/27/23 12:04:00 AM,19,15
02/27/23 12:03:00 AM,19,15
02/27/23 12:02:00 AM,18,15
02/27/23 12:01:00 AM,20,15
02/27/23 12:00:00 AM,20,15
02/26/23 11:59:00 PM,19,15
02/26/23 11:58:00 PM,20,15
02/26/23 11:57:00 PM,20,16
02/26/23 11:56:00 PM,20,15
02/26/23 11:55:00 PM,20,16
02/26/23 11:54:00 PM,20,15
02/26/23 11:53:00 PM,21,16
02/26/23 11:52:00 PM,21,16
02/26/23 11:51:00 PM,20,15
02/26/23 11:50:00 PM,20,15
02/26/23 11:49:00 PM,21,15
02/26/23 11:48:00 PM,20,15
02/26/23 11:47:00 PM,20,15
02/26/23 11:46:00 PM,20,15
02/26/23 11:45:00 PM,20,15
02/26/23 11:44:00 PM,20,15
02/26/23 11:43:00 PM,21,16
02/26/23 11:42:00 PM,20,15
02/26/23 11:41:00 PM,21,16
02/26/23 11:40:00 PM,20,16
02/26/23 11:39:00 PM,21,16
02/26/23 11:38:00 PM,20,15
02/26/23 11:37:00 PM,20,15
02/26/23 11:36:00 PM,21,15
02/26/23 11:35:00 PM,21,16
02/26/23 11:34:00 PM,20,16
02/26/23 11:33:00 PM,20,15
02/26/23 11:32:00 PM,20,15
02/26/23 11:31:00 PM,21,15
02/26/23 11:30:00 PM,20,15
02/26/23 11:29:00 PM,20,15
02/26/23 11:28:00 PM,19,15
02/26/23 11:27:00 PM,20,15
02/26/23 11:26:00 PM,21,15
02/26/23 11:25:00 PM,20,15
02/26/23 11:24:00 PM,20,15
02/26/23 11:23:00 PM,21,15
02/26/23 11:22:00 PM,21,15
02/26/23 11:21:00 PM,21,15
02/26/23 11:20:00 PM,20,15
02/26/23 11:19:00 PM,20,15
02/26/23 11:18:00 PM,20,15
02/26/23 11:17:00 PM,20,15
02/26/23 11:16:00 PM,20,15
02/26/23 11:15:00 PM,20,15
02/26/23 11:14:00 PM,19,15
02/26/23 11:13:00 PM,20,15
02/26/23 11:12:00 PM,20,15
02/26/23 11:11:00 PM,19,15
02/26/23 11:10:00 PM,20,15
02/26/23 11:09:00 PM,20,15
02/26/23 11:08:00 PM,21,15
02/26/23 11:07:00 PM,21,15
02/26/23 11:06:00 PM,20,15
02/26/23 11:05:00 PM,20,15
02/26/23 11:04:00 PM,20,15
02/26/23 11:03:00 PM,20,15
02/26/23 11:02:00 PM,20,15
02/26/23 11:01:00 PM,20,15
02/26/23 11:00:00 PM,20,15
02/26/23 10:59:00 PM,19,15
02/26/23 10:58:00 PM,19,15
02/26/23 10:57:00 PM,19,15
02/26/23 10:56:00 PM,19,15
02/26/23 10:55:00 PM,21,15
02/26/23 10:54:00 PM,20,15
02/26/23 10:53:00 PM,20,15
02/26/23 10:52:00 PM,19,15
02/26/23 10:51:00 PM,20,15
02/26/23 10:50:00 PM,20,15
02/26/23 10:49:00 PM,20,15
02/26/23 10:48:00 PM,21,15
02/26/23 10:47:00 PM,22,15
02/26/23 10:46:00 PM,19,15
02/26/23 10:45:00 PM,21,15
02/26/23 10:44:00 PM,20,15
02/26/23 10:43:00 PM,20,15
02/26/23 10:42:00 PM,19,15
02/26/23 10:41:00 PM,21,15
02/26/23 10:40:00 PM,20,15
02/26/23 10:39:00 PM,21,15
02/26/23 10:38:00 PM,20,15
02/26/23 10:37:00 PM,20,15
02/26/23 10:36:00 PM,21,15
02/26/23 10:35:00 PM,20,15
02/26/23 10:34:00 PM,20,15
02/26/23 10:33:00 PM,21,15
02/26/23 10:32:00 PM,20,15
02/26/23 10:31:00 PM,21,15
02/26/23 10:30:00 PM,20,15
02/26/23 10:29:00 PM,19,15
02/26/23 10:28:00 PM,19,15
02/26/23 10:27:00 PM,19,15
02/26/23 10:26:00 PM,20,15
02/26/23 10:25:00 PM,21,15
02/26/23 10:24:00 PM,21,15
02/26/23 10:23:00 PM,20,15
02/26/23 10:22:00 PM,20,15
02/26/23 10:21:00 PM,21,15
02/26/23 10:20:00 PM,20,15
02/26/23 10:19:00 PM,20,15
02/26/23 10:18:00 PM,19,15
02/26/23 10:17:00 PM,19,15
02/26/23 10:16:00 PM,20,15
02/26/23 10:15:00 PM,20,15
02/26/23 10:14:00 PM,20,15
02/26/23 10:13:00 PM,20,15
02/26/23 10:12:00 PM,20,15
02/26/23 10:11:00 PM,20,15
02/26/23 10:10:00 PM,19,15
02/26/23 10:09:00 PM,20,15
02/26/23 10:08:00 PM,20,15
02/26/23 10:07:00 PM,20,15
02/26/23 10:06:00 PM,20,15
02/26/23 10:05:00 PM,20,15
02/26/23 10:04:00 PM,20,15
02/26/23 10:03:00 PM,20,15
02/26/23 10:02:00 PM,20,15
02/26/23 10:01:00 PM,20,15
02/26/23 10:00:00 PM,20,15
02/26/23 09:59:00 PM,20,15
02/26/23 09:58:00 PM,19,15
02/26/23 09:57:00 PM,21,15
02/26/23 09:56:00 PM,21,15
02/26/23 09:55:00 PM,19,15
02/26/23 09:54:00 PM,20,15
02/26/23 09:53:00 PM,20,14
02/26/23 09:52:00 PM,20,15
02/26/23 09:51:00 PM,19,15
02/26/23 09:50:00 PM,21,15
02/26/23 09:49:00 PM,20,15
02/26/23 09:48:00 PM,20,15
02/26/23 09:47:00 PM,20,15
02/26/23 09:46:00 PM,20,15
02/26/23 09:45:00 PM,20,15
02/26/23 09:44:00 PM,21,15
02/26/23 09:43:00 PM,20,15
02/26/23 09:42:00 PM,22,15
02/26/23 09:41:00 PM,21,15
